"","COM_SECT","Posttown","Quotes","HH","QuotesPCT","expPCT","antiSoc_hh","bikeTheft_hh","burglary_hh","damageAndArson_hh","drugs_hh","other_hh","theft_hh","publicOrder_hh","robbery_hh","shoplifting_hh","theftPerson_hh","vehicleCrime_hh","violence_hh","weapons_hh","totalCrimes_hh","fire_hh","falseAlarm_hh","specialService_hh","totalFires_hh"
"74","W1D 5","W"," -   ",1,"","0.0001%",95,13,34,19,26,1,223,4,40,56,24,230,8,110,883,7,31,16,54
"75","W1G 0","W"," -   ",1,"","0.0001%",222,26,37,14,9,5,148,2,28,18,101,150,67,49,876,16,80,14,110
"76","W1H 1","W"," -   ",1,"","0.0001%",48,4,11,5,0,0,6,1,8,4,0,8,14,18,127,3,8,4,15
"77","W1J 9","W"," -   ",1,"","0.0001%",39,2,7,8,19,4,132,2,33,31,40,157,2,90,566,20,52,11,83
"78","W1K 4","W"," -   ",1,"","0.0001%",12,3,11,7,1,0,14,0,1,3,5,9,16,13,95,2,48,4,54
"79","W1K 5","W"," -   ",1,"","0.0001%",39,7,46,14,9,6,118,4,20,29,168,121,15,58,654,10,71,8,89
"80","W1K 6","W"," -   ",1,"","0.0001%",40,6,29,9,6,5,121,2,13,18,45,80,53,40,467,6,40,9,55
"81","W1K 7","W"," -   ",1,"","0.0001%",87,2,17,24,13,3,363,3,22,24,171,316,21,66,1132,12,29,9,50
"82","W1S 1","W"," -   ",1,"","0.0001%",145,17,86,12,26,6,390,1,54,66,246,401,40,120,1610,6,102,12,120
"83","W1S 2","W"," -   ",1,"","0.0001%",46,3,33,10,11,4,77,0,17,13,85,30,24,57,410,4,87,12,103
"84","W1S 4","W"," -   ",1,"","0.0001%",27,6,12,6,4,1,59,1,6,7,66,20,45,44,304,3,109,7,119
"85","W1T 7","W"," -   ",1,"","0.0001%",21,9,9,4,1,0,81,0,6,12,8,50,14,13,228,5,27,1,33
"86","W1U 3","W"," -   ",1,"","0.0001%",7,3,16,3,4,1,21,0,3,6,3,31,65,9,172,3,34,1,38
"87","W1U 7","W"," -   ",1,"","0.0001%",5,1,3,4,1,1,25,0,2,2,3,14,17,11,89,1,6,5,12
"88","W1U 8","W"," -   ",1,"","0.0001%",47,1,19,2,0,2,46,0,5,3,1,3,9,14,152,7,26,1,34
"89","W1W 5","W"," -   ",1,"","0.0001%",94,10,45,19,1,2,118,3,11,24,10,64,108,82,591,5,105,16,126
"90","WC1A 1","WC"," -   ",1,"","0.0001%",166,11,39,20,3,0,159,1,14,20,18,113,91,48,703,10,14,12,36
"91","WC1A 2","WC"," -   ",1,"","0.0001%",111,15,36,12,4,1,76,1,17,18,2,85,30,28,436,2,18,3,23
"92","WC1B 4","WC"," -   ",1,"","0.0001%",1,3,15,7,2,1,23,1,7,5,0,34,11,9,119,5,25,4,34
"93","WC1B 5","WC"," -   ",1,"","0.0001%",50,5,22,6,0,1,53,1,2,7,1,75,13,19,255,5,15,4,24
"94","WC1V 6","WC"," -   ",1,"","0.0001%",112,25,30,4,2,2,135,0,29,19,55,141,8,58,620,4,28,4,36
"95","WC2A 1","WC"," -   ",1,"","0.0001%",3,3,0,1,0,0,2,0,1,0,2,2,1,4,19,1,17,1,19
"96","WC2A 2","WC"," -   ",1,"","0.0001%",13,18,4,3,0,0,40,0,18,1,2,19,1,26,145,4,6,5,15
"97","WC2A 3","WC"," -   ",1,"","0.0001%",15,21,20,7,0,0,86,1,9,4,2,38,26,20,249,4,17,3,24
"98","WC2B 6","WC"," -   ",1,"","0.0001%",106,18,13,6,2,2,101,0,15,15,20,95,6,44,443,2,35,7,44
"99","WC2E 8","WC"," -   ",1,"","0.0001%",29,4,14,7,2,3,119,1,20,7,120,135,9,41,511,6,40,6,52
"100","WC2H 7","WC"," -   ",1,"","0.0001%",414,12,48,65,128,8,590,7,121,126,20,701,34,492,2766,18,84,13,115
"101","WC2H 9","WC"," -   ",1,"","0.0001%",294,36,105,29,28,5,308,6,57,25,217,131,37,163,1441,18,84,24,126
"102","WC2R 1","WC"," -   ",1,"","0.0001%",285,10,12,3,2,0,40,0,3,5,8,13,1,12,394,6,21,5,32
"103","WC2R 2","WC"," -   ",1,"","0.0001%",9,10,5,4,3,0,31,1,6,3,0,21,5,28,126,1,12,6,19
"104","WC2R 3","WC"," -   ",1,"","0.0001%",10,3,5,2,4,0,27,0,6,1,2,3,3,9,75,4,7,5,16
"105","EC2V 7","EC"," -   ",2,"","0.0001%",5.5,3.5,0.5,0.5,1,0.5,10,0.5,2.5,0,2,1.5,0,7.5,35.5,1.5,8,1,10.5
"106","EC3A 7","EC"," -   ",2,"","0.0001%",26,4,3.5,3.5,8,0.5,16,1.5,2.5,0.5,1.5,3,1.5,14,86,0.5,16,1,17.5
"107","EC3V 3","EC"," -   ",2,"","0.0001%",8.5,0.5,0,0,0,0.5,1.5,0.5,0,0,1,0,0,3.5,16,1,4.5,0,5.5
"108","EC2Y 9","EC"," 9 ",2,"0.0003%","0.0001%",24,6,0,1,0,0,22.5,0.5,2,2,2.5,6.5,0.5,11,78.5,3.5,7.5,3.5,14.5
"109","N1C 4","N"," 9 ",2,"0.0003%","0.0001%",9.5,0.5,7,3,3.5,1,5,0,1.5,1,0,4,2.5,11,49.5,3.5,9.5,5.5,18.5
"110","E20 1","E"," 182 ",1,"0.0067%","0.0001%",123,41,53,64,52,17,267,12,36,51,237,137,56,229,1375,12,37,35,84
"111","EC1Y 1","EC"," -   ",3,"","0.0002%",2.33333333333333,3.33333333333333,0.666666666666667,2,5,0.333333333333333,16,0.666666666666667,3.33333333333333,9.33333333333333,1.66666666666667,37,0.333333333333333,12.6666666666667,94.6666666666667,2.33333333333333,7.66666666666667,5.66666666666667,15.6666666666667
"112","EC2Y 5","EC"," -   ",3,"","0.0002%",9,1,1,1,0.333333333333333,0,5,0,1,0,0,0.666666666666667,0,2.33333333333333,21.3333333333333,0.333333333333333,5,1,6.33333333333333
"113","EC3V 0","EC"," -   ",3,"","0.0002%",7,2,3.33333333333333,2,3,2,25.6666666666667,1.33333333333333,3.33333333333333,0.666666666666667,42.3333333333333,11.6666666666667,0.333333333333333,11.6666666666667,116.333333333333,0.666666666666667,10.6666666666667,1,12.3333333333333
"114","EC4M 9","EC"," -   ",3,"","0.0002%",6,0.333333333333333,0.333333333333333,0.333333333333333,1,0,2,0,0.333333333333333,0.666666666666667,11,3.33333333333333,0,5.33333333333333,30.6666666666667,1,1.66666666666667,1,3.66666666666667
"115","W1D 1","W"," -   ",3,"","0.0002%",10.3333333333333,4.33333333333333,8,5.66666666666667,3,1.66666666666667,133,1.33333333333333,16.6666666666667,17.3333333333333,89.3333333333333,174.666666666667,2,47.6666666666667,515,5.33333333333333,19,2.33333333333333,26.6666666666667
"116","EC1A 2","EC"," -   ",4,"","0.0003%",0.75,0.5,1.5,0.25,0.25,0.25,2.25,0,0.75,0.75,0.5,2.5,0.5,2,12.75,0.5,6,1,7.5
"117","EC2M 7","EC"," -   ",4,"","0.0003%",45.25,4.75,3,1.25,4,1.75,19.25,0,2.5,0.75,6.75,12.5,2.75,11.25,115.75,0.75,4.75,2.5,8
"118","EC3M 7","EC"," -   ",4,"","0.0003%",0,0,0.75,0,0.5,0,2,0,0.5,0.25,0.25,0.5,0,0.75,5.5,0,1.75,0.25,2
